trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
93,False,"{'a': 0.8, 'e': 0.009561601930543517}",25,18,13.71050036510332,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 0.8, 'e': 0.009095277101695826}",25,3,27.83422159048539,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
95,False,"{'a': 0.8, 'e': 0.008651695203120643}",35,12,-5.472171283002646,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 1}",1
96,False,"{'a': 0.8, 'e': 0.008229747049020037}",30,7,17.060659142951703,"{0: 22, 1: 0, 2: 0, 3: 1, 4: 0}",1
97,False,"{'a': 0.8, 'e': 0.007828377549225779}",35,11,-14.052177410063164,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 1}",1
98,False,"{'a': 0.8, 'e': 0.007446583070924348}",25,14,21.61210593536297,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 0.8, 'e': 0.007083408929052127}",25,16,18.91490350020492,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
100,False,"{'a': 0.8, 'e': 0.006737946999085474}",30,12,33.9950467604276,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.8, 'e': 0.006409333446256388}",20,16,6.000611857123423,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
102,False,"{'a': 0.8, 'e': 0.006096746565515642}",25,0,9.571042057398474,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
103,False,"{'a': 0.8, 'e': 0.005799404726842149}",20,6,-18.357096658703508,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
104,False,"{'a': 0.8, 'e': 0.0055165644207607785}",30,21,15.81371092974015,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
105,False,"{'a': 0.8, 'e': 0.00524751839918139}",30,12,31.04661582275679,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
106,False,"{'a': 0.8, 'e': 0.004991593906910221}",25,2,-34.812887819494264,"{0: 20, 1: 1, 2: 0, 3: 1, 4: 1}",1
107,False,"{'a': 0.8, 'e': 0.00474815099941148}",25,14,-26.75804166315847,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
108,False,"{'a': 0.8, 'e': 0.004516580942612672}",20,13,11.312948450098007,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
109,False,"{'a': 0.8, 'e': 0.004296304690752344}",35,24,-4.958452732180188,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
110,False,"{'a': 0.8, 'e': 0.00408677143846407}",20,0,33.518805432224255,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
111,False,"{'a': 0.8, 'e': 0.0038874572434761325}",25,19,9.659926536777009,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
112,False,"{'a': 0.8, 'e': 0.0036978637164829338}",25,16,6.640758404970303,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.8, 'e': 0.0035175167749121328}",20,16,6.556477392600747,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.8, 'e': 0.0033459654574712755}",25,18,-28.309113039532324,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
115,False,"{'a': 0.8, 'e': 0.0031827807965096695}",25,14,20.445046127733427,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.8, 'e': 0.003027554745375817}",20,6,20.247448794536133,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 0.8, 'e': 0.0028798991580882443}",25,0,21.52448282147095,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
118,False,"{'a': 0.8, 'e': 0.0027394448187683714}",25,1,34.92888179994384,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
119,False,"{'a': 0.8, 'e': 0.002605840518408501}",20,11,15.408259449195484,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
120,False,"{'a': 0.8, 'e': 0.0024787521766663607}",20,10,17.12600245933287,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.8, 'e': 0.0023578620064902346}",30,2,-2.626647886605798,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 1}",1
122,False,"{'a': 0.8, 'e': 0.0022428677194858047}",20,0,-28.579060062443016,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
123,False,"{'a': 0.8, 'e': 0.0021334817700377107}",30,22,15.922951746543047,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
124,False,"{'a': 0.8, 'e': 0.002029430636295736}",20,0,-77.01926301791221,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",1
125,False,"{'a': 0.8, 'e': 0.001930454136227711}",20,15,8.137638808118492,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
126,False,"{'a': 0.8, 'e': 0.0018363047770289086}",20,0,28.78604407028595,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
127,False,"{'a': 0.8, 'e': 0.0017467471362611208}",25,7,28.09417537448237,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.8, 'e': 0.001661557273173936}",25,13,21.40270716794314,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.8, 'e': 0.0015805221687362188}",25,10,-17.128801311752838,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
130,False,"{'a': 0.8, 'e': 0.0015034391929775739}",25,0,34.06501878852748,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
131,False,"{'a': 0.8, 'e': 0.0014301155983078755}",20,4,8.65052388012656,"{0: 14, 1: 2, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.8, 'e': 0.0013603680375478947}",20,0,28.02193285585546,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
133,False,"{'a': 0.8, 'e': 0.0012940221054658495}",25,0,30.743469313097116,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
134,False,"{'a': 0.8, 'e': 0.0012309119026734823}",25,0,34.95670477658976,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
135,False,"{'a': 0.8, 'e': 0.0011708796207911755}",25,0,-7.961211360595911,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
136,False,"{'a': 0.8, 'e': 0.0011137751478448041}",20,13,9.40474463893337,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.8, 'e': 0.0010594556929076108}",25,10,27.23183542194218,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.8, 'e': 0.0010077854290485118}",25,0,28.878033312813336,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
139,False,"{'a': 0.8, 'e': 0.0009586351536940209}",20,0,26.81870564434118,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.8, 'e': 0.0009118819655545171}",20,10,-4.391673790870415,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
